epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.966,1.14404,2.32515,1.16922,0.95549,0.8125,0.96752,0.62189,1.177,2.66161,1.19541,0.000657143,0.000657143,0.000657143
2,233.358,1.17344,1.7637,1.15543,0.92235,0.8375,0.94764,0.6315,1.19477,2.25365,1.31512,0.00128012,0.00128012,0.00128012
3,354.293,1.18513,1.61752,1.16858,0.97397,0.93552,0.97202,0.60927,1.27811,1.89197,1.25168,0.0018591,0.0018591,0.0018591
4,465.863,1.20139,1.56828,1.16167,0.97173,0.875,0.951,0.63524,1.13564,1.74469,1.13997,0.001802,0.001802,0.001802
5,584.616,1.17876,1.39593,1.16445,0.97304,0.9125,0.97224,0.67785,1.0799,1.54282,1.09097,0.001736,0.001736,0.001736
6,710.238,1.13397,1.32439,1.15854,0.98481,0.81027,0.93342,0.59715,1.22794,1.65689,1.22821,0.00167,0.00167,0.00167
7,822.546,1.18232,1.27871,1.15943,0.98311,0.9625,0.98389,0.66349,1.16926,1.2919,1.1653,0.001604,0.001604,0.001604
8,925.917,1.13421,1.13265,1.10349,0.96474,0.95,0.97337,0.63555,1.13278,1.20609,1.14567,0.001538,0.001538,0.001538
9,1028.08,1.12265,1.06355,1.12959,0.99284,0.9375,0.98265,0.65617,1.19045,1.14805,1.16155,0.001472,0.001472,0.001472
10,1145.95,1.14124,1.06008,1.14598,1,0.94802,0.98692,0.66587,1.114,1.07948,1.13293,0.001406,0.001406,0.001406
11,1261.21,1.14505,0.98338,1.12594,0.97407,0.9875,0.98549,0.69151,1.08001,0.93404,1.08629,0.00134,0.00134,0.00134
12,1371.14,1.07787,0.9119,1.09081,0.94206,0.95,0.98694,0.69951,1.06516,0.92936,1.10076,0.001274,0.001274,0.001274
13,1491.99,1.02918,0.88525,1.07198,0.99639,1,0.995,0.68871,1.09899,0.85207,1.12718,0.001208,0.001208,0.001208
14,1594.31,1.03441,0.84202,1.09055,0.99535,0.9875,0.9943,0.67322,1.13584,0.80111,1.11097,0.001142,0.001142,0.001142
15,1699.17,1.05457,0.836,1.09784,0.96349,0.98977,0.99289,0.68646,1.09327,0.79711,1.08281,0.001076,0.001076,0.001076
16,1803.54,1.05015,0.82427,1.09585,1,0.98576,0.99145,0.69851,1.07033,0.73961,1.0784,0.00101,0.00101,0.00101
17,1905.97,0.99022,0.72107,1.06049,0.98645,0.9875,0.99384,0.70531,1.05034,0.71593,1.05821,0.000944,0.000944,0.000944
18,2006.46,1.00706,0.73011,1.07906,0.99477,0.9875,0.99389,0.70092,1.05597,0.73083,1.0782,0.000878,0.000878,0.000878
19,2106.56,1.04011,0.7241,1.08589,0.98502,0.9875,0.99397,0.69992,1.04756,0.69067,1.08553,0.000812,0.000812,0.000812
20,2206.99,0.98078,0.70767,1.07468,0.99717,0.9875,0.9943,0.70468,1.0874,0.67438,1.08838,0.000746,0.000746,0.000746
21,2307.73,0.92809,0.6647,1.02788,1,0.9987,0.995,0.71202,1.0624,0.64446,1.06111,0.00068,0.00068,0.00068
22,2407.71,0.91898,0.62038,1.01242,0.99867,0.9875,0.99476,0.72,1.02666,0.64494,1.06729,0.000614,0.000614,0.000614
23,2506.53,0.91937,0.606,1.02241,1,0.98708,0.99488,0.70991,1.03411,0.63153,1.05964,0.000548,0.000548,0.000548
24,2607.21,0.92206,0.59874,1.01448,0.99843,0.9875,0.99464,0.71451,1.01451,0.60114,1.04623,0.000482,0.000482,0.000482
25,2709.03,0.88963,0.58327,1.01397,0.99769,0.9875,0.99476,0.72537,0.98613,0.57785,1.03039,0.000416,0.000416,0.000416
26,2809.16,0.88862,0.55782,0.99772,0.98669,1,0.99488,0.72696,1.01049,0.57654,1.03747,0.00035,0.00035,0.00035
27,2914.71,0.87192,0.54717,0.99473,1,0.99809,0.995,0.72453,0.99506,0.56467,1.03139,0.000284,0.000284,0.000284
28,3015.29,0.85171,0.53582,1.00064,0.99794,0.9875,0.99488,0.72572,0.98424,0.55845,1.02172,0.000218,0.000218,0.000218
29,3126.53,0.83545,0.51624,0.98013,0.98762,0.99757,0.99488,0.72991,0.99868,0.55505,1.02368,0.000152,0.000152,0.000152
30,3240.06,0.85967,0.52788,0.98122,0.99798,0.9875,0.99488,0.73093,0.99321,0.54669,1.02291,8.6e-05,8.6e-05,8.6e-05
